Player Name,Team,Position,GP,PTS,AST,TRB,Salary_M,Points_per_Million,Value_Score,PER
Garrett Temple,NOP,SG,25,2.0,0.5,0.7,5.1555,0.3879352148191252,0.6206963437106003,10.5
Torrey Craig,PHO,PF,79,7.4,1.5,5.4,5.121951,1.444761966680275,2.7919048815578282,11.6
Jeremy Sochan,SAS,PF,56,11.0,2.5,5.3,5.06352,2.172401807438304,3.712832179985465,11.4
Nickeil Alexander-Walker,MIN/UTA,SG,59,6.2,1.8,1.7,5.009633,1.2376156097662245,1.936269583021351,11.6
Furkan Korkmaz,PHI,SG,37,3.8,0.6,1.1,5.0,0.76,1.1,9.3
Deni Avdija,WAS,SF,76,9.2,2.8,6.4,4.91616,1.8713792878994988,3.7427585757989976,11.2
Davion Mitchell,SAC,PG,80,5.6,2.3,1.3,4.8336,1.1585567692816947,1.9033432638199272,9.4
Johnny Davis,WAS,SG,28,5.8,1.0,2.3,4.81032,1.2057409902043938,1.8917660363551696,7.2
Ty Jerome,GSW,SG,45,6.9,3.0,1.7,4.728948,1.4590983026246007,2.452976856586285,12.8
Jalen Smith,IND,C,68,9.4,1.0,5.8,4.67016,2.012779005430221,3.4688319029754866,15.9
Ziaire Williams,MEM,SF,37,5.7,0.9,2.1,4.59168,1.2413757056240853,1.8947313401630776,7.4
Ousmane Dieng,OKC,PF,39,4.9,1.2,2.7,4.56984,1.0722476060431,1.9256691700365878,9.3
Jeff Green,DEN,PF,56,7.8,1.2,2.6,4.5,1.7333333333333334,2.5777777777777775,11.0
Donte DiVincenzo,GSW,SG,72,9.4,3.5,4.5,4.5,2.088888888888889,3.8666666666666663,12.8
Devin Vassell,SAS,SG,38,18.5,3.6,3.9,4.437,4.169483885508226,5.859815190443993,15.5
Matisse Thybulle,PHI/POR,SF-SG,71,4.1,0.7,2.0,4.379526,0.936174371381743,1.5526794452185007,10.5
Jarred Vanderbilt,LAL/UTA,PF,78,7.9,2.4,7.5,4.374,1.8061271147690903,4.069501600365799,15.1
James Bouknight,CHO,SG,34,5.6,1.2,2.1,4.36224,1.283744131455399,2.040236208920188,6.2
Brandon Clarke,MEM,PF,56,10.0,1.3,5.5,4.343919,2.302068708003073,3.8674754294451628,20.0
Jalen Williams,OKC,SG,75,14.1,3.3,4.5,4.34148,3.2477404018905998,5.044362751872633,15.6
Grant Williams,BOS,PF,79,8.1,1.7,4.6,4.306281,1.8809733967662583,3.3439527053622364,10.3
Darius Bazley,OKC/PHO,C,43,5.2,0.9,3.2,4.264628,1.219332612363845,2.1807294798045693,13.1
Tyrese Haliburton,IND,PG,56,20.7,10.4,3.7,4.21512,4.910892216591699,8.255992711951263,23.6
Nassir Little,POR,SF,54,6.6,0.9,2.6,4.171548,1.5821464837513557,2.421163558467984,10.2
Jalen Duren,DET,C,67,9.1,1.1,8.9,4.12428,2.2064457311336767,4.631111369742113,17.3
Gorgui Dieng,SAS,C,31,3.9,1.7,3.5,4.105236,0.9500062846569601,2.21668133086624,9.9
Justise Winslow,POR,PF,29,6.8,3.4,5.0,4.097561,1.6595237996456917,3.709523787443311,9.3
Stanley Johnson,SAS,SF,30,5.8,2.2,3.2,4.022164,1.4420098235676118,2.784570693785733,13.5
George Hill,MIL/IND,PG-SG,46,5.0,2.4,1.8,4.0,1.25,2.3000000000000003,10.6
Terence Davis,SAC,SG,64,6.7,1.0,2.2,4.0,1.675,2.475,12.9
